begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
18/01/2009,21/01/2009,4,-0.8,0.2,-1.0,0.8,2009
23/01/2009,27/01/2009,5,-1.9,1.2,-3.9,3.3,2009
08/03/2009,12/03/2009,5,-1.4,0.8,-2.8,3.3,2009
03/12/2009,13/12/2009,11,-4.1,2.8,-8.3,2.6,2009
19/02/2010,22/02/2010,4,2.7,0.9,1.7,3.1,2010
07/03/2010,09/03/2010,3,0.4,2.3,-1.7,2.9,2010
20/11/2010,29/11/2010,10,-1.8,4.8,-10.0,3.6,2010
02/12/2010,04/12/2010,3,2.2,0.5,1.7,3.5,2010
29/12/2010,31/12/2010,3,-2.6,3.2,-5.0,2.8,2010
01/01/2011,04/01/2011,4,-2.3,0.9,-3.3,2.3,2011
09/01/2011,11/01/2011,3,-0.7,0.6,-1.1,3.9,2011
16/02/2011,20/02/2011,5,0.4,1.5,-2.2,3.9,2011
23/02/2011,27/02/2011,5,-3.8,2.9,-6.7,5.5,2011
01/12/2011,06/12/2011,6,-0.7,1.1,-2.0,1.7,2011
08/12/2011,10/12/2011,3,-0.7,1.3,-2.0,2.1,2011
11/01/2012,20/01/2012,10,-1.4,1.5,-3.0,3.6,2012
26/02/2012,29/02/2012,4,-0.3,1.4,-1.7,4.4,2012
06/03/2012,08/03/2012,3,-0.2,0.9,-1.1,2.7,2012
17/03/2012,19/03/2012,3,0.1,0.8,-0.6,3.2,2012
15/12/2012,20/12/2012,6,1.5,0.8,0.6,5.8,2012
01/01/2013,03/01/2013,3,-1.1,0.9,-2.2,3.0,2013
10/01/2013,22/01/2013,13,-2.0,1.3,-4.4,1.6,2013
03/12/2013,12/12/2013,10,-2.9,2.8,-7.2,2.5,2013
04/01/2014,06/01/2014,3,0.2,1.1,-1.0,2.9,2014
24/01/2014,27/01/2014,4,1.4,0.4,1.0,1.2,2014
02/02/2014,09/02/2014,8,-2.2,2.7,-5.6,4.2,2014
11/11/2014,18/11/2014,8,-0.6,1.3,-1.7,4.5,2014
29/11/2014,03/12/2014,5,-2.8,2.2,-5.0,4.2,2014
29/12/2014,31/12/2014,3,-1.1,2.0,-2.8,3.5,2014
01/01/2015,03/01/2015,3,-0.3,2.4,-2.8,1.8,2015
20/11/2015,23/11/2015,4,1.2,0.7,0.6,3.3,2015
25/11/2015,30/11/2015,6,-1.4,1.3,-3.0,2.8,2015
24/12/2015,31/12/2015,8,0.9,1.5,-1.7,2.8,2015
01/01/2016,05/01/2016,5,0.1,2.5,-3.3,3.0,2016
07/01/2016,09/01/2016,3,1.3,1.2,0.0,1.0,2016
19/02/2016,21/02/2016,3,3.0,1.2,1.7,4.0,2016
04/12/2016,10/12/2016,7,0.1,1.6,-2.2,4.9,2016
13/12/2016,19/12/2016,7,-1.6,2.3,-5.0,3.9,2016
21/12/2016,26/12/2016,6,1.3,0.7,0.6,2.4,2016
01/01/2017,07/01/2017,7,-4.1,1.8,-5.6,4.4,2017
10/01/2017,16/01/2017,7,-2.1,1.3,-3.3,3.2,2017
23/12/2017,26/12/2017,4,-0.4,0.5,-1.1,3.2,2017
01/01/2018,04/01/2018,4,1.1,0.9,0.0,3.1,2018
09/02/2018,15/02/2018,7,1.4,1.8,-1.1,3.1,2018
18/02/2018,26/02/2018,9,-1.1,2.3,-4.4,4.8,2018
03/12/2018,07/12/2018,5,1.4,1.0,0.0,4.5,2018
03/02/2019,11/02/2019,9,-3.7,2.1,-6.1,4.0,2019
25/02/2019,28/02/2019,4,-0.1,0.7,-1.1,4.1,2019
03/03/2019,05/03/2019,3,-0.4,1.2,-1.7,4.9,2019
28/11/2019,30/11/2019,3,-0.9,1.7,-2.8,3.7,2019
08/01/2020,10/01/2020,3,1.1,0.6,0.6,4.3,2020
12/01/2020,17/01/2020,6,0.1,1.6,-2.2,4.9,2020
02/02/2020,04/02/2020,3,1.0,0.6,0.6,2.7,2020
17/02/2020,19/02/2020,3,0.7,1.2,0.0,3.4,2020
10/12/2020,12/12/2020,3,1.9,1.6,0.0,3.3,2020
21/12/2020,23/12/2020,3,0.9,1.4,-0.6,3.1,2020
08/02/2021,14/02/2021,7,-1.3,2.1,-3.9,4.2,2021
03/12/2021,06/12/2021,4,2.1,1.0,0.6,2.8,2021
13/12/2021,15/12/2021,3,1.9,0.6,1.1,4.2,2021
25/12/2021,31/12/2021,7,-4.5,2.8,-8.3,4.6,2021
26/01/2022,29/01/2022,4,-0.6,0.5,-1.1,2.2,2022
21/02/2022,25/02/2022,5,-2.9,1.4,-5.0,3.6,2022
29/11/2022,02/12/2022,4,-1.7,0.9,-2.8,3.7,2022
15/12/2022,23/12/2022,9,-3.0,2.8,-7.8,4.2,2022
29/01/2023,02/02/2023,5,-1.1,2.1,-4.4,2.1,2023
12/02/2023,15/02/2023,4,-0.4,1.5,-2.2,3.6,2023
22/02/2023,01/03/2023,8,-1.9,2.2,-5.6,4.5,2023
24/11/2023,29/11/2023,6,-0.7,0.7,-1.7,1.7,2023
